PMID,PMC_ID,Title,Journal,PublicationDate,Authors,Abstract,URL,Citation,HTML_FILE
40291108,PMC12026207,Choreoathetosis as a rare complication of paraneoplastic syndrome: a case report in small cell lung cancer with positive anti-Hu antibodies.,Proceedings (Baylor University. Medical Center),2025,Saowapa S; Adu Y; Parmar K; Agusala V; Srifuengfung G; Polpichai N; Siladech P; Tanariyakul M,"Choreoathetosis is a rare complication of paraneoplastic syndrome, particularly associated with small cell lung cancer. We report a case of an elderly woman with small cell lung cancer who was diagnosed with choreoathetosis due to autoimmune-mediated paraneoplastic syndrome. The differential diagnoses for focal neurological deficits such as stroke, immunotherapy-related toxicity, radiation-induced toxicity, and brain metastasis were considered but the presence of onconeural antibodies made paraneoplastic syndrome a more likely diagnosis. Management of choreoathetosis in paraneoplastic syndrome can be challenging, with limited treatment options available.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12026207/?report=classic,Saowapa et al.. Choreoathetosis as a rare complication of paraneoplastic syndrome: a case report in small cell lung cancer with positive anti-Hu antibodies.. Proceedings (Baylor University. Medical Center). 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Choreoathetosis_as_a_rare_complication_of_paraneoplastic_syndrome__a_case_report_PMC12026207.html
40290685,PMC12019266,Diagnosis and treatment of pulmonary lymphoepithelioma-like carcinoma: A case report.,World journal of clinical oncology,2025,Huang FL; Luo M; He ZM; Shen YQ; Liu GD,"Pulmonary lymphoepithelioma-like carcinoma (PLELC) is a rare primary epithelial lung cancer associated with the Epstein-Barr virus. Standard treatment guideline for PLELC is yet not to be established, surgery remains the primary treatment for early-stage PLELC, and platinum chemotherapy is the most common first-line treatment for advanced PLELC. While targeted therapy and immunotherapy has emerged as effective way to treat various malignant tumors, including lung cancer, reports on PLELC are relatively scarce.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12019266/?report=classic,Huang et al.. Diagnosis and treatment of pulmonary lymphoepithelioma-like carcinoma: A case report.. World journal of clinical oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Diagnosis_and_treatment_of_pulmonary_lymphoepithelioma_like_carcinoma__A_case_re_PMC12019266.html
40287744,PMC12034166,Acute fibrinous and organising pneumonia presenting with mass-like imaging: a case report.,Diagnostic pathology,2025,Zhou W; Zhang L; Xu B; Wang C,"This case report describes a patient with acute fibrinous and organising pneumonia (AFOP) presenting with mass-like imaging on chest computed tomography (CT), aiming to enhance clinical awareness of this rare disease.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12034166/?report=classic,Zhou et al.. Acute fibrinous and organising pneumonia presenting with mass-like imaging: a case report.. Diagnostic pathology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Acute_fibrinous_and_organising_pneumonia_presenting_with_mass_like_imaging__a_ca_PMC12034166.html
40283518,PMC12027924,A Rare Case of Primary Pulmonary Meningioma.,Journal of clinical medicine,2025,Sha C; Li L; Mitchell F; Breuer F; Park R; Lee PC,"<b>Background</b>: Primary pulmonary meningioma (PPM) is an uncommon tumor originating in the lung. Although predominantly benign, there are instances of aggressive tumors exhibiting malignant features. Due to their rarity, our understanding of PPMs is primarily gleaned from case reports or small case series. <b>Methods</b>: This report details the case of an 84-year-old female presenting with an incidental, well-circumscribed, enlarging nodule (1.4 × 1.3 × 0.9 cm) in the left upper lobe (LUL). Initial imaging found it to be highly suspicious of lung cancer. <b>Results</b>: Upon surgical resection, pathological analysis confirmed the tumor's characteristics to be consistent with a benign PPM. Postoperative recovery was uneventful and there is no evidence of recurrence. <b>Conclusions</b>: Our report aims to contribute to the expanding body of knowledge concerning incidental PPMs by documenting our clinical encounter with this patient.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12027924/?report=classic,Sha et al.. A Rare Case of Primary Pulmonary Meningioma.. Journal of clinical medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/A_Rare_Case_of_Primary_Pulmonary_Meningioma__PMC12027924.html
40277845,PMC12027059,Successful Management of Acquired von Willebrand Syndrome Associated with Monoclonal Gammopathy of Undetermined Significance After Sotorasib Treatment in a Patient with Non-Small-Cell Lung Carcinoma.,Hematology reports,2025,Julien M; Pierre L; Gérout AC; Sattler L; Feugeas O; Desprez D,"<b>Background:</b> This case report investigates the effects of sotorasib treatment in a patient with acquired von Willebrand syndrome (AVWS) associated with monoclonal gammopathy of undetermined significance (MGUS), who subsequently developed non-small-cell lung carcinoma (NSCLC) with a KRAS G12C mutation. <b>Case Presentation:</b> The patient, a 79-year-old male, presented with a prolonged history of recurrent lower gastrointestinal bleeding attributed to digestive angiodysplasia, which had persisted for over 30 years. AVWS was suspected based on a qualitative deficiency in von Willebrand factor (VWF), with abnormal results for factor VIII activity (FVIII:C), VWF antigen (VWF:Ag), and VWF ristocetin cofactor activity (VWF:Rco) (40%, 20%, and <2.4%, respectively). Further evaluation revealed the presence of an IgM kappa monoclonal spike, suggesting MGUS. In 2022, the patient was diagnosed with NSCLC harboring the KRAS G12C mutation and initiated second-line treatment with sotorasib. Notably, one year after the initiation of sotorasib therapy, the patient's hemostasis had normalized, accompanied by significant improvements in VWF levels. VWF multimer electrophoresis demonstrated the restoration of high-molecular-weight multimers (HMWMs), and serum protein electrophoresis no longer detected MGUS. <b>Conclusion:</b> These improvements were likely attributable to the indirect effects of sotorasib on the bone marrow microenvironment. By inhibiting KRAS in stromal cells and osteoclasts, sotorasib may have disrupted the supportive niche necessary for malignant plasma cell survival, resulting in a reduction in the monoclonal spike. Unfortunately, the patient eventually succumbed to carcinogenic pleurisy.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12027059/?report=classic,Julien et al.. Successful Management of Acquired von Willebrand Syndrome Associated with Monoclonal Gammopathy of Undetermined Significance After Sotorasib Treatment in a Patient with Non-Small-Cell Lung Carcinoma.. Hematology reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Successful_Management_of_Acquired_von_Willebrand_Syndrome_Associated_with_Monocl_PMC12027059.html
40277759,PMC12025375,Combined Use of Gefitinib and Bevacizumab in Advanced Non-Small-Cell Lung Cancer with <i>EGFR</i> G719S/S768I Mutations and Acquired C797S Without T790M After Osimertinib: A Case Report and Literature Review.,"Current oncology (Toronto, Ont.)",2025,Lu W; Sun J; Jing Y; Xu J; Huang C; Deng Y; Tian P; Li Y,"Epidermal growth factor receptor (<i>EGFR</i>) tyrosine kinase inhibitors (TKIs) are effective in non-small-cell lung cancer (NSCLC) with sensitizing mutations. However, patients with uncommon <i>EGFR</i> mutations show variable responses, and resistance often develops. The C797S mutation is a common resistance mechanism after third-generation <i>EGFR</i>-TKI osimertinib therapy, with no standard treatment established. A 37-year-old Chinese woman with advanced NSCLC harboring <i>EGFR</i> G719S/S768I mutations developed an acquired C797S mutation without T790M after second- and third-generation <i>EGFR</i>-TKI therapy. She was treated with a combination of gefitinib and bevacizumab, achieving a partial response, particularly in liver metastases. Her overall survival exceeded 60 months. Gefitinib combined with bevacizumab demonstrates efficacy in managing NSCLC with uncommon <i>EGFR</i> mutations and overcoming acquired C797S resistance. This combination therapy offers a promising treatment strategy for patients with limited options after resistance to second- and third-generation <i>EGFR</i>-TKIs.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12025375/?report=classic,"Lu et al.. Combined Use of Gefitinib and Bevacizumab in Advanced Non-Small-Cell Lung Cancer with <i>EGFR</i> G719S/S768I Mutations and Acquired C797S Without T790M After Osimertinib: A Case Report and Literature Review.. Current oncology (Toronto, Ont.). 2025.",/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Combined_Use_of_Gefitinib_and_Bevacizumab_in_Advanced_Non_Small_Cell_Lung_Cancer_PMC12025375.html
40276420,PMC12021377,Efficacy of Selpercatinib in Non-small Cell Lung Cancer With Bilateral Internal Auditory Canal Metastases: A Case Report.,Cureus,2025,Moreira-Sousa D; Morgado M; Valente MS,"Selpercatinib is a selective rearranged during transfection (RET) inhibitor approved for treating RET fusion-positive non-small cell lung cancer (NSCLC), demonstrating high efficacy in central nervous system involvement. This case report describes a 65-year-old woman with stage IV lung adenocarcinoma who, after progression on third-line therapy, developed severe neurological symptoms, including hypoacusis, headache, and dizziness, attributed to cerebral and bilateral internal auditory canal metastasis. This study received a favorable opinion from the ethics committee of the Cova da Beira Local Health Unit and informed consent was obtained from the patient in question. Next-generation sequencing identified a RET fusion mutation, leading to the initiation of selpercatinib as a fourth-line treatment. The patient exhibited significant clinical improvement within one week of therapy, including complete hearing recovery. Adverse effects were limited to elevated hepatic transaminases and QT interval prolongation, both of which were effectively managed through dose adjustments. The response to selpercatinib was sustained for over 31 months, at which point new brain metastasis developed, which was possible to address with whole-brain radiotherapy while maintaining targeted therapy with selpercatinib. This case highlights a rare presentation of bilateral auditory canal metastasis in NSCLC with RET fusion, following the failure of platinum-based chemotherapy and immunotherapy. The prolonged progression-free survival and favorable tolerability of selpercatinib, after dose modifications, underscore its potential as an effective treatment option for patients with central nervous system metastasis.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12021377/?report=classic,Moreira-Sousa et al.. Efficacy of Selpercatinib in Non-small Cell Lung Cancer With Bilateral Internal Auditory Canal Metastases: A Case Report.. Cureus. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Efficacy_of_Selpercatinib_in_Non_small_Cell_Lung_Cancer_With_Bilateral_Internal__PMC12021377.html
40275259,PMC12023669,Disseminated talaromycosis in HIV-negative patients with lung cancer: a rare case report and literature review.,BMC infectious diseases,2025,He H; Cai L; Xue X; Zhang K; Huang Q; Qiu A; Fan H; Lin Y; Xu B; Pan W,"Talaromycosis has long been considered to be exclusively associated with human immunodeficiency virus/acquired immune deficiency syndrome (HIV/AIDS). In recent years, with effective control measures for HIV, the number of talaromycosis patients without HIV infection has been increasing annually. All of these patients have various immunosuppressive factors, including tumors. However, we find that talaromycosis among HIV-negative lung cancer patients remains a rarity and is without comprehensive reviews, contributing to significant gaps in clinical knowledge.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12023669/?report=classic,He et al.. Disseminated talaromycosis in HIV-negative patients with lung cancer: a rare case report and literature review.. BMC infectious diseases. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Disseminated_talaromycosis_in_HIV_negative_patients_with_lung_cancer__a_rare_cas_PMC12023669.html
40274524,PMC12021532,A Case of Non-Small-Cell Lung Cancer With Massive Malignant Ascites Treated With Chemotherapy Combined With Cell-Free and Concentrated Ascites Reinfusion Therapy.,Thoracic cancer,2025,Jingo K; Hirakawa H; Mimori T; Fujioka S; Muto Y; Komaru M; Haba M; Mitsuishi Y; Takahashi K,"We report the case of a 65-year-old woman with stage IVB lung adenocarcinoma who developed malignant ascites during treatment. Despite multiple ascitic fluid drainages and second-line chemotherapy, the ascites progressively worsened. The initiation of cell-free and concentrated ascites reinfusion therapy (CART) led to improved abdominal distention, increased blood albumin levels, and slower ascites accumulation. To our knowledge, this is the first report of CART combined with chemotherapy for the management of malignant ascites associated with lung cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12021532/?report=classic,Jingo et al.. A Case of Non-Small-Cell Lung Cancer With Massive Malignant Ascites Treated With Chemotherapy Combined With Cell-Free and Concentrated Ascites Reinfusion Therapy.. Thoracic cancer. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/A_Case_of_Non_Small_Cell_Lung_Cancer_With_Massive_Malignant_Ascites_Treated_With_PMC12021532.html
40271131,PMC12014726,Severe immune-mediated myocarditis caused by sintilimab combined with gemcitabine: a case report and literature review.,Frontiers in cardiovascular medicine,2025,Yang H; Sun M; Zhou X; Han Y; Zhang S; Zhang K; Zhang X,"Following the approval of sintilimab for lung cancer immunotherapy in China in June 2021, real-world clinical practice has confirmed its efficacy and safety. Although there have been limited reports of immune-related myocarditis associated with sintilimab, no fatal cases have been reported to date. This case report focuses on a 71-year-old male patient with lung squamous cell carcinoma who developed severe immune-mediated myocarditis after receiving sintilimab in combination with gemcitabine. The patient presented with immune myocarditis combined with acute myocardial infarction. Due to delayed diagnosis, the outcome was unfavorable. This case is a warning to clinicians for early identification, rapid diagnosis and standardized use of glucocorticoids and immunosuppressants in sindilizumab induced myocarditis and emphasize the importance of multidisciplinary collaboration in managing such rare but serious adverse events.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12014726/?report=classic,Yang et al.. Severe immune-mediated myocarditis caused by sintilimab combined with gemcitabine: a case report and literature review.. Frontiers in cardiovascular medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Severe_immune_mediated_myocarditis_caused_by_sintilimab_combined_with_gemcitabin_PMC12014726.html
40269792,PMC12020168,The impostor of chest pain: a case of lung cancer mimicking angina.,BMC pulmonary medicine,2025,Zhang D; Chen M; Zhou X; Xu Y; Zeng Y; Luo X; Liu P; Liang L; Qian Y; Luo G; Jiang Y; Liu M,"Chest pain is a common symptom with a complex etiology involving multiple organs and systems. Cardiovascular, digestive and respiratory diseases can cause chest pain. A single condition usually reformulates and can cause this symptom, but a combination of conditions can also cause it. This case reports a 69-year-old male suffered from recurrent chest pain. Coronary heart disease, gastroesophageal reflux disease and left lung adenocarcinoma were diagnosed successively for nearly 1 year. The patients focus on one disease, and the medical staff neglects to deal with multiple diseases simultaneously. Ambiguous evidence and patients' unmotivated attitudes towards treatment make early diagnosis of lung cancer difficult. Treatment for coronary heart disease and gastroesophageal reflux disease masks the symptoms of lung cancer to some extent, resulting in a skewed diagnostic focus. This report highlights the need for clinicians to improve communication with patients to enhance treatment adherence and provide comprehensive screening, identification, and treatment of chest pain etiologies to prevent delays in patient treatment. The findings also suggest that awareness of the therapeutic and prognostic impact of interstitial lung disease on lung cancer should be improved, which is essential for the development of clinical treatment protocols.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12020168/?report=classic,Zhang et al.. The impostor of chest pain: a case of lung cancer mimicking angina.. BMC pulmonary medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/The_impostor_of_chest_pain__a_case_of_lung_cancer_mimicking_angina__PMC12020168.html
40261422,PMC12014741,Management strategies for primary lung carcinosarcoma: a case study and comprehensive literature review.,Journal of cancer research and clinical oncology,2025,Wang Z; Zeng Y; Jiang H; Luo C; Zhang F; Zhu X; Fu Q,"Primary lung carcinosarcoma, characterized by the presence of both carcinoma and sarcoma components, is a rare soft tissue malignancy. Its pathogenesis remains incompletely elucidated, and it exhibits significant resistance to conventional therapeutic interventions, resulting in a dismal prognosis. Consequently, there is currently no established standard treatment protocol for lung carcinosarcoma, leading most clinicians to draw upon their experiences with other tumor types when formulating treatment strategies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12014741/?report=classic,Wang et al.. Management strategies for primary lung carcinosarcoma: a case study and comprehensive literature review.. Journal of cancer research and clinical oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Management_strategies_for_primary_lung_carcinosarcoma__a_case_study_and_comprehe_PMC12014741.html
40256355,PMC12008127,Safety and efficacy of osimertinib 160 mg daily given concurrently with a strong CYP3A4 inducer.,Respiratory medicine case reports,2025,Aglan M; Spyropoulous E; Oster J; Hesketh PJ; Piper-Vallillo AJ,"Osimertinib remains the standard first-line therapy for patients with advanced <i>EGFR</i>-mutant NSCLC, at least in part due to its improved CNS penetrance compared to earlier generation EGFR TKIs. Strong CYP3A4-inducing medications are known to reduce the effective concentration of osimertinib, prompting the recommendation to double the standard osimertinib dose from 80 to 160 mg daily. However, little is known about the real-world safety and efficacy of osimertinib given in combination with long term CYP3A4 inducer use. We detail, to our knowledge, the first reported case of a patient receiving an escalated osimertinib dosage concurrent with a potent CYP3A4 inducer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008127/?report=classic,Aglan et al.. Safety and efficacy of osimertinib 160 mg daily given concurrently with a strong CYP3A4 inducer.. Respiratory medicine case reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Safety_and_efficacy_of_osimertinib_160_mg_daily_given_concurrently_with_a_strong_PMC12008127.html
40255681,PMC12007007,"Combination of Aumolertinib, Dabrafenib, and Trametinib for a Patient with Advanced Lung Adenocarcinoma with an Osimertinib-Induced BRAF V600E Mutation: A Case Report.",OncoTargets and therapy,2025,Wang D; Ye W; Yin Z; Xu N; Ma J,"Osimertinib has become the standard of care in the first-line treatment of advanced non-small cell lung cancer (NSCLC) harboring epidermal growth factor receptor (EGFR) mutations. Although previous studies reported that the BRAF V600E mutation is a unique resistance mechanism to osimertinib, the treatment of lung adenocarcinoma patients harboring both EGFR and acquired BRAF-V600E comutations remains unclear. Here, we report a case of a 36-year-old woman diagnosed with stage IV lung adenocarcinoma harboring the EGFR L858R mutation. She received osimertinib for 24 months and experienced progressive disease. Rebiopsy pathology revealed that the lung lesion was still adenocarcinoma, and NGS revealed gains of BRAF V600E and TP53 mutations in addition to the EGFR L858R mutation. This patient subsequently received aumolertinib in combination with dabrafenib and trametinib and achieved a complete response for 8 months. In conclusion, acquired BRAF-V600E mutations may contribute to osimertinib resistance. Aumolertinib plus BRAF inhibitors improves outcomes in patients with EGFR-L858R and acquired BRAF-V600E comutant lung adenocarcinoma in whom osimertinib treatment has failed.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12007007/?report=classic,"Wang et al.. Combination of Aumolertinib, Dabrafenib, and Trametinib for a Patient with Advanced Lung Adenocarcinoma with an Osimertinib-Induced BRAF V600E Mutation: A Case Report.. OncoTargets and therapy. 2025.",/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Combination_of_Aumolertinib__Dabrafenib__and_Trametinib_for_a_Patient_with_Advan_PMC12007007.html
40255330,PMC12008115,Right lower lobectomy and lymph node dissection for lung cancer with subcarinal bronchial diverticulum.,Journal of surgical case reports,2025,Iga N; Hayama Y; Yamada E; Muro M,"A tracheobronchial diverticulum is an incidental airway abnormality often identified on chest computed tomography. Thoracic surgery involves manipulation around the bronchial diverticulum, assessing its presence, and implementing appropriate strategies to prevent injury. However, few reports document cases of thoracic surgery complicated by a bronchial diverticulum. Herein, we report a case of surgical resection of lung cancer with a bronchial diverticulum. A 66 year-old woman was diagnosed with right lower lobe lung cancer, c-T1b N1 M0 stage IIB right lower-lobe lung cancer. Chest computed tomography showed a 9 mm bronchial diverticulum below the carina. Surgical intervention for bronchial diverticulum was performed simultaneously with the dissection of the inferior mediastinal lymph nodes. Right lower lobectomy with lymph node resection was safely performed using robot-assisted surgery.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008115/?report=classic,Iga et al.. Right lower lobectomy and lymph node dissection for lung cancer with subcarinal bronchial diverticulum.. Journal of surgical case reports. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Right_lower_lobectomy_and_lymph_node_dissection_for_lung_cancer_with_subcarinal__PMC12008115.html
40251661,PMC12008952,Therapeutic efficacy of albuvirtide-based antiretroviral therapy in people living with HIV who have low-level viremia and non-AIDS-defining malignancies: two case reports.,Retrovirology,2025,Zhang C; Xie T; Liu Y; Cao Y,"People living with HIV (PLWH) who experience low-level viremia (LLV) face unique challenges in disease management, particularly when diagnosed with concurrent malignancies. Albuvirtide (ABT), a long-acting HIV fusion inhibitor approved in China, has shown promise in clinical trials for treatment-experienced individuals. However, its efficacy in managing LLV in the context of concurrent malignancies remains under-explored.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008952/?report=classic,Zhang et al.. Therapeutic efficacy of albuvirtide-based antiretroviral therapy in people living with HIV who have low-level viremia and non-AIDS-defining malignancies: two case reports.. Retrovirology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Therapeutic_efficacy_of_albuvirtide_based_antiretroviral_therapy_in_people_livin_PMC12008952.html
40248739,PMC12000952,Pathological complete response and long-term survival by pembrolizumab based immunochemotherapy in epidermal growth factor receptor mutated non-small cell lung cancer post-tyrosine kinase inhibitor failure: a case report and tumor microenvironment analysis.,Translational lung cancer research,2025,Liu S; Liang W; Quan S; Deng Q; Fu W; Zhang Y; Du H; He J,"Lung adenocarcinoma harboring epidermal growth factor receptor (<i>EGFR</i>) mutations remains a significant clinical challenge, particularly when patients experience progression following <i>EGFR</i>-tyrosine kinase inhibitor (TKI) therapy. This case report explores the efficacy of pembrolizumab-based immunochemotherapy (ICT) in achieving a pathological complete response (pCR) and prolonged survival in a patient with <i>EGFR</i>-mutated non-small cell lung cancer (NSCLC) after TKI failure.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12000952/?report=classic,Liu et al.. Pathological complete response and long-term survival by pembrolizumab based immunochemotherapy in epidermal growth factor receptor mutated non-small cell lung cancer post-tyrosine kinase inhibitor failure: a case report and tumor microenvironment analysis.. Translational lung cancer research. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Pathological_complete_response_and_long_term_survival_by_pembrolizumab_based_imm_PMC12000952.html
40248726,PMC12000955,Metachronous development of L858R and T790M EGFR mutations following ALK inhibitor therapy in stage IV lung adenocarcinoma: a case report.,Translational lung cancer research,2025,Kim SY; Lee J; Park D; Lee JE; Lee JE; Kim HY; Kang DH; Chung C,"Metachronous lung cancers with distinct driver mutations are rare, particularly following targeted therapy. This report presents a unique case of tumor evolution in non-small cell lung cancer (NSCLC).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12000955/?report=classic,Kim et al.. Metachronous development of L858R and T790M EGFR mutations following ALK inhibitor therapy in stage IV lung adenocarcinoma: a case report.. Translational lung cancer research. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Metachronous_development_of_L858R_and_T790M_EGFR_mutations_following_ALK_inhibit_PMC12000955.html
40248195,PMC12003138,Case Report: Transforming small cell lung cancer: two cases report and literature review.,Frontiers in oncology,2025,Liu J; Ai J; Zhao L; Qian Y; Zhao Q; Ma C; Zhao Y; Zhao J,"Transformation of non-small cell lung cancer (NSCLC) to small cell lung cancer (SCLC) is a relatively rare event with an incidence of about 3%-14%. Due to the poor treatment outcomes and prognosis associated with this transformation, understanding its underlying mechanisms is crucial for improving the diagnosis, management, and prognosis of transformed small cell lung cancer (T-SCLC). In this paper, we present two cases of T-SCLC and review the molecular mechanisms, clinical features, and treatment strategies post-transformation. We emphasize the importance of considering pathological transformation in cases of resistance to NSCLC treatment, monitoring changes in tumor markers, and conducting a re-biopsy. Finally, we propose effective treatment measures for managing T-SCLC.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12003138/?report=classic,Liu et al.. Case Report: Transforming small cell lung cancer: two cases report and literature review.. Frontiers in oncology. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Case_Report__Transforming_small_cell_lung_cancer__two_cases_report_and_literatur_PMC12003138.html
40248079,PMC12003278,Pulmonary artery pseudoaneurysm-induced massive hemoptysis after chemotherapy combined with tislelizumab for lung squamous cell carcinoma: a case report.,Frontiers in medicine,2025,Yang XJ; Wu YJ; Wang JZ; Zheng YL; Li XQ,"Lung squamous cell carcinoma (SCC) is a subtype of non-small cell lung cancer with high incidence and mortality rates. While chemotherapy and immune checkpoint inhibitors (ICIs) have become crucial treatment options for SCC, these may be associated with unforeseen complications. Here, we present a 65-year-old male of hemoptysis caused by a pulmonary artery pseudoaneurysm (PAP) after chemotherapy combined with tislelizumab for lung SCC. After confirmation with angiography, successful embolization was performed to occlude the pseudoaneurysm and proximal artery. To our knowledge, this is the first reported case of PAP formation after chemotherapy combined with tislelizumab for lung SCC.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12003278/?report=classic,Yang et al.. Pulmonary artery pseudoaneurysm-induced massive hemoptysis after chemotherapy combined with tislelizumab for lung squamous cell carcinoma: a case report.. Frontiers in medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Pulmonary_artery_pseudoaneurysm_induced_massive_hemoptysis_after_chemotherapy_co_PMC12003278.html
40242904,PMC12004084,A Case of Lung Squamous Cell Carcinoma Harboring TP53 Mutation and PLPP5-FGFR1 Fusion Gene.,The clinical respiratory journal,2025,Xiao-Ru M; Xiao-Xiong S; Qian G; Ya-Jing Q; Li-Li H; Yan-Yan G; Peng-Peng X; Guan-Nan M; Gui-Bing R,"Lung squamous cell carcinoma (LUSC) is one of the most common subtype of lung cancer and is associated with the poor prognoses. The fibroblast growth factor receptor (FGFR) family is known to be activated through fusions with various partners across multiple cancer types, including nonsmall cell lung cancer (NSCLC). FGFR inhibitors are currently undergoing clinical evaluation for the treatment of tumors harboring these fusions. While FGFR1 amplification has been well-documented in numerous NSCLC datasets, the characterization of specific FGFR fusion variants remains limited. In this study, we identified a novel PLPP5-FGFR1 fusion in a 65-year-old male patient with lung squamous cell carcinoma through targeted RNA sequencing. The fusion junction was located between exon 1 of PLPP5 and exon 5 of FGFR1, and the result was validated by Sanger sequencing. To our knowledge, this is the first reported case of a PLPP5-FGFR1 fusion coexisting with a TP53 mutation in LUSC. These findings broaden the spectrum of potential translocation partners in FGFR1 fusions, and the clinical implications of this novel fusion on treatment outcomes and prognosis warrant further investigation and long-term follow-up.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12004084/?report=classic,Xiao-Ru et al.. A Case of Lung Squamous Cell Carcinoma Harboring TP53 Mutation and PLPP5-FGFR1 Fusion Gene.. The clinical respiratory journal. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/A_Case_of_Lung_Squamous_Cell_Carcinoma_Harboring_TP53_Mutation_and_PLPP5_FGFR1_F_PMC12004084.html
40242596,PMC12001326,Lung cancer with diabetes mellitus and polymyalgia rheumatica during long?term nivolumab treatment: A case report.,Experimental and therapeutic medicine,2025,Nakao M; Hirano A; Nakai M; Hayashi S; Kuriyama M; Takeda N; Muramatsu H,"A 54-year-old man was referred to Kainan hospital (Yatomi, Japan) in June 2014 with a chief complaint of right hip pain. Computed tomography showed a pelvic tumor and a nodule in the right upper lobe of the lung. After transbronchial lung tumor biopsy and full-body screening, the patient was diagnosed with stage IV lung cancer. Epidermal growth factor receptor mutation and anaplastic lymphoma kinase fusion gene were not detected, and programmed cell death ligand 1 was negative. From July 2014, while undergoing radiotherapy to the right pelvic region, the patient also received combination therapy with carboplatin, paclitaxel and bevacizumab. The patient subsequently received pemetrexed monotherapy and docetaxel monotherapy, as well as radiotherapy, for right adrenal metastasis. From February 2019, the patient was administered nivolumab, which was effective, but 3 years and 3 months after the start of nivolumab treatment, he developed diabetes mellitus and insulin therapy was started. Then, 4 years and 5 months after the start of nivolumab, the patient developed polymyalgia rheumatica and was treated with prednisolone. The present study reports a rare case of diabetes mellitus and polymyalgia rheumatica in a patient with lung cancer who had received nivolumab treatment for more than 4 years.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12001326/?report=classic,Nakao et al.. Lung cancer with diabetes mellitus and polymyalgia rheumatica during long?term nivolumab treatment: A case report.. Experimental and therapeutic medicine. 2025.,/Users/aaronfanous/Desktop/AnsonProjects/DynamicData/pmc_htmls/Lung_cancer_with_diabetes_mellitus_and_polymyalgia_rheumatica_during_long_term_n_PMC12001326.html
